gokaran,M,10
gokaran prasad,M,1
gokaran purus,M,1
gokaran raj,M,2
gokarana,M,3
gokarda,M,1
gokarn,M,40
gokarn bahadur,M,8
gokarn gairi,M,1
gokarn jang,M,1
gokarn khan,M,1
gokarn lal,M,1
gokarn maya,F,1
gokarn prasad,M,7
gokarn raj,M,1
gokarna,F,4
gokarna,M,783
gokarna bahadhur,M,4
gokarna bahadue,M,1
gokarna bahadur,M,121
gokarna bahadur aale,M,1
gokarna bhadhur,M,3
gokarna bhadur,M,1
tejakumari,M,1
tejal,F,2
tejal maya,F,1
tejal yata,F,1
tejamai,F,1
tejan,M,4
tejanath,M,1
tejanatha,M,1
tejandar,M,1
tejandra,M,2
tejap,M,1
tejar,M,1
tejas,M,6
tejasakar,M,1
tejasbhi,F,1
tejasbi,F,6
tejasbi,M,1
tejash,M,6
tejashi,F,1
